Nombre;Estilo;Cervecería;Nombre completo;Descripción;ABV;Min IBU;Max IBU;Astringencia;Cuerpo (Body);Alcohol;Amargo (Bitter);Dulce (Sweet);Agrio (Sour);Salado (Salty);Frutas (Fruits);Lupulado (Hoppy);Especias (Spices);Malta (Malty)
Long Haul Session Ale;Bitter - English;Two Brothers Brewing Company;Two Brothers Brewing Company Long Haul Session Ale;"Notes:""Ale aged a minimum of 4 weeks in French Oak Foudres.""\t";4.2;20.0;35.0;17;40;6.0;54;48;35;0;23;65.0;17;88.0
Best Bitter;Bitter - English;Gritty McDuff's Brewing Company;Gritty McDuff's Brewing Company Gritty McDuff's Best Bitter;Notes:Best Bitter was the first beer we ever brewed, way back in 1988 at our Portland Brew Pub. This true English classic has been the anchor of our draft selection ever since.Best Bitter is a copper-hued and well-balanced ale with real old world integrity. We use fine Yakima Golding hop flowers in the brewing of this beer for a fine dry finish that compliments the malty palate. The taste captures the freshness of a hand-drawn ale that goes right from the conditioning tank to your glass!25 IBU\t;5.0;20.0;35.0;18;61;4.0;77;55;26;0;22;101.0;13;89.0
Old Golden Hen;Bitter - English;Greene King / Morland Brewery;Greene King / Morland Brewery Old Golden Hen;Notes:;4.1;20.0;35.0;14;41;6.0;67;48;44;3;72;85.0;11;69.0
Hopback Summer Lightning;Bitter - English;Hop Back Brewery plc;Hop Back Brewery plc Hopback Summer Lightning;Notes:;5.0;20.0;35.0;37;35;3.0;66;18;26;0;18;85.0;9;36.0
Belhaven Best;Bitter - English;Belhaven Brewery Company Ltd.;Belhaven Brewery Company Ltd. Belhaven Best;Notes:The pint of pints. Belhaven Best is the main man of draught ales. Best colour, best flavour, best balance - the pint for all occasions. We Scots are often not known for blowing our own trumpets, modest souls that we are, but we've named this Best for a reason. We're sure you'll agree.\t;3.5;20.0;35.0;7;73;14.0;33;63;17;2;18;49.0;4;99.0
Adnams Southwold Bitter;Bitter - English;Adnams plc, Sole Bay Brewery;Adnams plc, Sole Bay Brewery Adnams Southwold Bitter;Notes:;4.1;20.0;35.0;18;49;15.0;94;97;49;2;55;127.0;9;85.0
Geary's Winter Ale;Bitter - English;D.L. Geary Brewing Company;D.L. Geary Brewing Company Geary's Winter Ale;Notes:Geary’s new Winter Ale is a well balanced and more aggressive bitter, both in alcohol and hop character, without being overpowering. It is dark gold and coppery in color with moderate carbonation. Malt flavors are toasty and fruity, resulting in a tasty blend with firm body balanced by English hops.\t;6.0;20.0;35.0;9;59;20.0;37;60;13;0;18;45.0;19;80.0
Brakspear Bitter;Bitter - English;W.H. Brakspear & Sons plc;W.H. Brakspear & Sons plc Brakspear Bitter;Notes:;3.4;20.0;;18;52;5.0;73;34;19;0;17;85.0;11;74.0
Goliath;Bitter - English;Wychwood Brewery Company Ltd;Wychwood Brewery Company Ltd Goliath;Notes:;4.2;20.0;35.0;120;41;19.0;49;47;27;0;24;77.0;9;74.0
McNellie's Pub Ale;Bitter - English;Marshall Brewing Company;Marshall Brewing Company McNellie's Pub Ale;Notes:Inspired by the house ales found in the pubs of Great Britain and Ireland, McNellie’s Pub Ale is a traditional ale brewed in the style of a Best Bitter. Various maltings of two-row barley are joined with American Glacier hops to give this beer its color, complexity, and a bit of a New World twist. The Old World character present in this ale is largely influenced by its yeast, which originates in the port city of Hull, East Yorkshire, England.\t;5.0;20.0;35.0;27;50;7.0;58;62;34;3;30;96.0;8;116.0
Ruby Red Ale;Bitter - English;St. Peter's Brewery Co Ltd;St. Peter's Brewery Co Ltd St. Peter's Ruby Red Ale;Notes:A rich, red ale with subtle malt undertones and a distinctive spicy hop aroma from Styrian Goldings. Brewed with skill and patience in one of Britain's finest small breweries.\t;4.3;20.0;35.0;19;47;12.0;71;73;28;0;33;78.0;14;122.0
Op & Top;Bitter - English;Brouwerij De Molen;Brouwerij De Molen Op & Top;Notes:;4.5;20.0;35.0;19;38;8.0;70;55;72;0;81;112.0;7;55.0
Tetley's Smoothflow;Bitter - English;Carlsberg-Tetley Brewing Ltd;Carlsberg-Tetley Brewing Ltd Tetley's Smoothflow;Notes:;;20.0;35.0;14;96;10.0;40;62;21;1;20;55.0;2;74.0
Arkell Best Bitter;Bitter - English;Wellington County Brewery;Wellington County Brewery Arkell Best Bitter;Notes:Originally served as a real ale, Arkell Best Bitter has a loyal following. This delicate and well-balanced bitter is Wellington’s session beer.\t;4.0;;35.0;15;40;8.0;79;60;31;4;29;105.0;4;117.0
Chester County Bitter;Bitter - English;Sly Fox Brewing Company;Sly Fox Brewing Company Chester County Bitter;Notes:This traditional British Ale is authentic cask conditioned beer with a smooth malt profile balance by a subtle hop presence. Dry-hopping in the cask produces an enticing hop aroma in this quaffable session ale.\t;4.5;20.0;35.0;14;85;;74;32;31;0;30;91.0;37;82.0
Cain's Finest Bitter;Bitter - English;Robert Cain & Company Limited;Robert Cain & Company Limited Cain's Best Bitter;Notes:;;20.0;35.0;15;59;;68;60;17;1;22;91.0;3;104.0
Bitter;Bitter - English;Ridgeway Brewing;Ridgeway Brewing Ridgeway Bitter;Notes:;4.0;20.0;35.0;26;42;5.0;74;37;44;1;42;100.0;11;69.0
Colonel Blides Cask Ale;Bitter - English;Cricket Hill Brewing Co.;Cricket Hill Brewing Co. Colonel Blides Cask Ale;Notes:5.5% ABV31 IBU'S\t;5.5;20.0;35.0;140;56;5.0;61;43;38;3;41;78.0;8;82.0
T.E.A. (Traditional English Ale);Bitter - English;Hog's Back Brewery;Hog's Back Brewery T.E.A. (Traditional English Ale);Notes:An enticing amber colour with a hoppy and slightly fruity aroma. We use the finest English malt carefully balanced with local Fuggles hops. This is gently fermented to leave some of the natural malt sugars, to give a full and satisfying flavour with a long, dry finish.\t;4.2;20.0;35.0;13;36;10.0;53;58;43;2;41;;7;
XB Bluebird Bitter;Bitter - English;Coniston Brewing Co. Ltd;Coniston Brewing Co. Ltd XB Bluebird Bitter;Notes:;4.4;20.0;35.0;31;51;2.0;64;55;73;0;66;82.0;6;69.0
Pitchfork Rebellious Bitter;Bitter - English;RCH Brewery;RCH Brewery Pitchfork Rebellious Bitter;Notes:The name comes from the Pitchfork rebellion of 1685 the last battle to be fought on English soil of the Civil War.A golden bitter with floral citric hop aroma. It has a hoppy predominate taste which is slightly sweet and fruity and leaves you wanting more.\t;;;35.0;34;49;13.0;88;41;59;2;60;112.0;12;64.0
HopHead;Bitter - English;Dark Star Brewing Company Limited;Dark Star Brewing Company Limited HopHead;Notes:An extremely clean-drinking pale golden ale with a strong floral aroma and elderflower notes from the Cascade hops. This beer is full-bodied and full-flavoured yet gentle enough to make it a favourite session beer.50 IBU\t;3.8;20.0;35.0;25;57;8.0;67;15;33;0;29;85.0;21;23.0
Old Brewery BitterSamuel Smith Old Brewery (Tadcaster);Bitter - English;Samuel Smith Old Brewery (Tadcaster);Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Old Brewery Bitter;Notes:;4.0;20.0;35.0;10;91;9.0;58;62;42;1;41;68.0;21;75.0
Little Dog;Bitter - English;Hair of the Dog Brewing Company / Brewery and Tasting Room;Hair of the Dog Brewing Company / Brewery and Tasting Room Little Dog;"Notes:An experimental beer, moderately hopped and low alcohol. First made from second runnings of Doggie Claws 2010; subsequent releases of Fred or Adam second runnings.\t";3.5;20.0;35.0;9;31;8.0;44;13;24;3;26;61.0;9;53.0
Best Bitter;Bitter - English;St. Peter's Brewery Co Ltd;St. Peter's Brewery Co Ltd St. Peter's Best Bitter;Notes:A traditional best bitter ale brewed wth Pale and Crystal malts and Goldings aroma hops. The result is a full-bodied ale with distinctive fruity caramel notes. Brewed with skill and patience in one of Britain's finest small breweries.\t;3.7;20.0;35.0;17;45;2.0;79;47;28;0;20;101.0;11;82.0
Camerons Strongarm;Bitter - English;Castle Eden & Camerons Brewing Company Ltd;Castle Eden & Camerons Brewing Company Ltd Camerons Strongarm;Notes:;4.0;20.0;35.0;16;49;13.0;60;62;22;0;16;66.0;12;89.0
HSB (Horndean Special Bitter);Bitter - English;George Gale & Company Ltd;George Gale & Company Ltd HSB (Horndean Special Bitter);Notes:;4.8;20.0;35.0;13;47;;54;40;28;0;29;64.0;14;64.0
St. Patrick's Best;Bitter - English;Strangford Lough Brewing Company Ltd;Strangford Lough Brewing Company Ltd St. Patrick's Best;Notes:;4.2;20.0;;24;58;11.0;52;77;37;2;31;91.0;9;109.0
Hooky Bitter;Bitter - English;Hook Norton Brewery Co. Ltd.;Hook Norton Brewery Co. Ltd. Hooky Bitter;Notes:;3.5;20.0;35.0;23;60;9.0;83;71;56;0;58;117.0;16;113.0
West Bank Pub Ale;Bitter - English;Minneapolis Town Hall Brewery;Minneapolis Town Hall Brewery West Bank Pub Ale;Notes:British style pale ale featuring the the rich character of UK Golden Promise malt with a distinct finish from the use of British Fuggles and Golding hops.\t;4.8;20.0;35.0;18;44;6.0;86;39;59;1;70;120.0;14;59.0
Adnams Bitter;Bitter - English;Adnams plc, Sole Bay Brewery;Adnams plc, Sole Bay Brewery Adnams Bitter;Notes:;4.1;20.0;35.0;18;60;;95;63;42;0;39;;13;90.0
Summer Love;Blonde Ale - American;Victory Brewing Company;Victory Brewing Company Summer Love;Notes:CompositionMalt: imported 2 row German maltsHops: whole flower Tettnang Tettnang, Simcoe and Citra hopsABV: 5.2%FlavorWith the sublime, earthy familiarity of noble European hops backed up by fresh, clean German malts, Summer Love Ale ends with a surprising burst of lemony refreshment from fistfuls of American whole flower hops. Love Summer, now.\t;5.2;15.0;25.0;30;19;2.0;61;17;41;2;48;88.0;3;
Sweet Action;Blonde Ale - American;Sixpoint Brewery;Sixpoint Brewery Sweet Action;"Notes:Ever heard of Sweet Action...the magazine? That short-lived sensation sparked one of our first collaborations--the beer you hold in your hand. Our quest to classify SWEET ACTION has ended; it's a beer your brain can't categorize, but instead speaks directly to your palate. Our senses and intuition sometimes conquer rational thought. It's Mad Science.\t";5.0;15.0;25.0;13;38;7.0;54;39;38;0;40;81.0;2;50.0
Big Wave Golden Ale;Blonde Ale - American;Kona Brewing Co.;Kona Brewing Co. Big Wave Golden Ale;Notes:Big Wave is light golden ale with a subtle fruitiness and delicate hop aroma. A smooth, easy drinking refreshing ale. The lightly roasted honey malt contributes to the golden hue of this beer and also gives a slight sweetness that is balanced out by our special blend of hops.20 IBU\t;4.4;15.0;25.0;9;25;7.0;31;35;27;2;35;49.0;0;34.0
Twilight Summer Ale;Blonde Ale - American;Deschutes Brewery;Deschutes Brewery Twilight Ale;Notes:Summer has its own rules. As luck would have it, it also has it's own beer. This clever golden-hued ale pours remarkably crisp and clean. A distinctive malt body complements a refreshing hop profile led by a heady dose of bold Amarillo hops. Enjoy.Malt: Pale, Carapils, Crystal, MunichHops: Sterling, Celeia, Cascade, Tettnang38 IBU\t;5.0;15.0;25.0;28;37;8.0;62;48;79;0;82;102.0;17;100.0
Tire Bite Golden Ale;Blonde Ale - American;Flying Dog Brewery;Flying Dog Brewery Tire Bite Golden Ale;Notes:;5.1;15.0;25.0;28;34;8.0;29;31;25;1;19;;5;54.0
Export Ale;Blonde Ale - American;Shipyard Brewing Co.;Shipyard Brewing Co. Shipyard Export Ale;Notes:;5.1;15.0;25.0;15;41;;34;45;39;7;35;61.0;4;85.0
Fireman's #4;Blonde Ale - American;Real Ale Brewing Company;Real Ale Brewing Company Fireman's #4;Notes:;5.1;15.0;25.0;14;17;10.0;24;26;21;8;26;39.0;10;36.0
India Pale Ale;Blonde Ale - American;Alexander Keith's;Alexander Keith's India Pale Ale;Notes:The pride of Nova Scotia.\t;5.0;15.0;25.0;6;12;4.0;20;12;2;0;2;28.0;0;23.0
Samurai Ale;Blonde Ale - American;Great Divide Brewing Company;Great Divide Brewing Company Samurai Ale;Notes:Samurai is the perfect beer for your zen garden after battle, or your patio after a long day of work. The addition of rice gives a slightly fruity, crisp, refreshing element to this hazy unfiltered ale, creating a light, easy-going beer suitable for the peaceful warrior. This may be your first Samurai, but it certainly won’t be your last.\t;5.1;15.0;25.0;36;31;6.0;43;47;58;3;50;71.0;4;107.0
Bombshell Blonde;Blonde Ale - American;Southern Star Brewing Company;Southern Star Brewing Company Bombshell Blonde;Notes:A rich, creamy golden colored ale fermented at a cool temperature to give a clean finish. Hints of yeasty bread and a touch of hops combine to make a beer that is truly more than the sum of its parts.20 IBUMalt: Rahr Special Pale, Wyermann ViennaHops: Saphir, SterlingYeast: California Ale\t;;15.0;25.0;29;41;100.0;28;27;26;5;30;41.0;6;
Farmhouse Summer Ale;Blonde Ale - American;Flying Fish Brewing Company;Flying Fish Brewing Company Farmhouse Summer Ale;"Notes:A tribute to the highly drinkable ""every day"" beers from French-speaking Belgium. Contains Belgian two-row pale malt and 7% wheat. This beer is lightly filtered with an earthy, spicy hop character from imported Styrian Goldings hops and a beautiful rich creamy head from the wheat.\t";4.6;15.0;25.0;12;17;6.0;28;27;35;4;33;41.0;14;46.0
Single Chair Golden Ale;Blonde Ale - American;Magic Hat Brewing Company;Magic Hat Brewing Company Single Chair Ale;Notes:Single Chair celebrates the uniqueness of the Mad River Glen Cooperative Ski Area in Vermont. Medium bodied and ideally balanced for all tastes, Single Chair's tempting light golden color, heady aroma and smooth liquid go down effortlessly and often!17 IBU\t;5.0;15.0;25.0;22;40;;22;34;45;3;34;50.0;7;64.0
Citra Blonde Summer Brew;Blonde Ale - American;Widmer Brothers Brewing Company;Widmer Brothers Brewing Company Citra Summer Blonde Brew;Notes:;4.3;15.0;25.0;48;42;13.0;71;22;80;2;97;55.0;0;45.0
True Blonde Ale;Blonde Ale - American;Ska Brewing Co.;Ska Brewing Co. True Blonde Ale;Notes:A Smooth and Sexy Brew.Like golden waves of yeast crashing on a golden beach of golden sand with golden taps spewing golden beer that’s smooth as gold.A Crisp Blonde Ale. Golden in color, medium in body—she’s brewed with the help and the honey of Durango’s Honeyville™ bees.SOUL MATESLight enough not to overwhelm tasty greens regardless of dressing. Works well with delicate fish. Pleasant accompaniment to lobster, clams, shrimp and crab – great w/ lobster bisque. Thirst quencher, works well with spicy/hot foods.The taste is mildly sweet from the use of local honey, followed by bready malts, a touch of tangy wheat, a pleasantly mild bitterness, and citrus hop flavors in the end.\t;5.3;15.0;25.0;27;38;6.0;31;57;42;1;42;44.0;7;84.0
Prairie Path Ale;Blonde Ale - American;Two Brothers Brewing Company;Two Brothers Brewing Company Prairie Path Ale;Notes:;5.1;15.0;;24;26;7.0;43;38;32;1;37;70.0;7;68.0
Summer Ale;Blonde Ale - American;Blue Point Brewing Company;Blue Point Brewing Company Blue Point Summer Ale;Notes:The delicious, refreshing taste of Summer Ale comes from a substantial portion of wheat malt added to a traditional barley malt mix which gives this delicious brew a unique tartness not found in many light ales these days. No surprise – this light, thirst-quenching brew is best enjoyed on hot summer days.\t;4.4;;25.0;16;22;3.0;25;14;25;6;27;37.0;1;46.0
Aud Blonde;Blonde Ale - American;Russian River Brewing Company;Russian River Brewing Company Aud Blonde;Notes:;4.5;15.0;25.0;27;38;4.0;51;27;43;0;36;;8;49.0
Gossamer Golden Ale;Blonde Ale - American;Half Acre Beer Company;Half Acre Beer Company Gossamer Golden Ale;Notes:;4.2;150.0;25.0;23;44;9.0;55;41;54;5;74;;5;67.0
Heavy Seas - Gold Ale;Blonde Ale - American;Heavy Seas Beer;Heavy Seas Beer Heavy Seas - Gold Ale;Notes:;4.5;15.0;25.0;22;31;7.0;34;33;27;3;31;53.0;3;61.0
Sum'r Summer Ale;Blonde Ale - American;Uinta Brewing Company;Uinta Brewing Company Sum'R;Notes:Citrusy and thirst-quenching, this refreshing golden ale is highlighted by the use of unique hops.17 IBU\t;4.0;15.0;25.0;27;34;6.0;41;30;48;4;48;;1;65.0
Summer Honey Ale;Blonde Ale - American;Big Sky Brewing Company;Big Sky Brewing Company Summer Honey Ale;Notes:When the days get longer and the air gets warmer, we get outside quite a bit. And we build a big thirst. Summer Honey helps us shake off the winter and slakes our thirst for a refreshing brew. Summer Honey is a full-flavored summer seasonal ale. Brewed with a unique, balanced blend of spices, Northwest Hops, and Montana honey. Summer Honey is brewed during the early days of spring and released around the first of May each year. Light colored, light bodied, and very drinkable, Summer Honey sacrifices nothing to create a flavorful beer that can be enjoyed during the height of the Summer.\t;4.7;15.0;25.0;19;46;18.0;36;78;24;6;27;73.0;28;120.0
Ballantine XXX Ale;Blonde Ale - American;Pabst Brewing Company;Pabst Brewing Company Ballantine XXX Ale;Notes:;4.85;15.0;25.0;18;41;4.0;33;27;16;2;14;64.0;3;51.0
Molson Export;Blonde Ale - American;Molson Coors Canada;Molson Coors Canada Molson Export;Notes:With over 100 years of brewing tradition behind it, Molson Export continues to grow in lore. Its history, however, could never be as rich without the original, high-quality ingredients that have come to distinguish it from other brands.We brew Molson Export with two-row barley, an exclusive strain of ale yeast that goes back to the origins of Molson Breweries, hand-selected Golding and Oregon hops and water.\t;5.0;15.0;25.0;19;31;6.0;33;30;25;0;18;39.0;2;43.0
Lonely Blonde;Blonde Ale - American;Fulton Beer;Fulton Beer Lonely Blonde;Notes:The Lonely Blonde wears a delicate fragrance of German noble hops, and slips a touch of white wheat between American pale and crystal malts for a smooth, sensuous body, fair complexion, and a pleasantly lacy white head. Crisp carbonation slinks the Lonely Blonde quickly away, and you’re left with nothing but a slight lingering sweetness as you contemplate how The Lonely Blonde can be so beautiful on so many levels.\t;4.8;15.0;25.0;26;32;19.0;32;45;35;4;41;50.0;4;92.0
Summer Blonde Ale;Blonde Ale - American;River Horse Brewing Co.;River Horse Brewing Co. River Horse Summer Blonde;Notes:A light, refreshing Ale that is easy to drink yet complex. Perfect for the warmer months.\t;4.5;15.0;25.0;15;23;5.0;17;21;32;0;34;27.0;3;44.0
Knockout Blonde;Blonde Ale - American;Lawson's Finest Liquids;Lawson's Finest Liquids Knockout Blonde;Notes:Our blonde ale packs a zippy punch of hop aroma! This brew features a flavorful blend of North American malts and is fully loaded with Cascade and Centennial hops.\t;5.0;15.0;25.0;28;35;16.0;102;30;64;5;76;148.0;9;62.0
Blonde Ale;Blonde Ale - American;Thomas Hooker Brewing Company;Thomas Hooker Brewing Company Thomas Hooker Blonde Ale;Notes:Smooth flavor with a subtle malt sweetness accented with the delicate aroma of Czech hops. This brilliant gold ale is a mellow but flavorful microbrew.11 IBU\t;4.6;15.0;25.0;19;33;3.0;36;22;35;1;27;54.0;3;60.0
Bare Ass Blonde Ale;Blonde Ale - American;DuClaw Brewing Company;DuClaw Brewing Company Bare Ass Blonde Ale;Notes:Our smoothly drinkable little blonde bombshell will turn your head with its smooth, light malt flavor, mild hop character, 5% ABV, and crisp, refreshing, fruity finish.Style: Blonde AleColor: GoldenHop Variety: Fuggle, GoldingsGrains: Pale Malt, Wheat Malt, Carapils MaltPlato: 12.5IBU: 19\t;5.0;15.0;25.0;25;30;;27;32;24;3;24;39.0;0;66.0
NOLA Blonde AleNew Orleans Lager & Ale Brewing Company (NOLA);Blonde Ale - American;New Orleans Lager & Ale Brewing Company (NOLA);New Orleans Lager & Ale Brewing Company (NOLA) NOLA Blonde Ale;Notes:A great introductory craft beer, NOLA Blonde is a medium-bodied traditional American blonde ale - golden in color with floral and citrus hop aromas.\t;;15.0;25.0;10;24;7.0;36;49;52;2;44;52.0;3;
Alamo Golden Ale;Blonde Ale - American;Alamo Beer Co.;Alamo Beer Co. Alamo Golden Ale;Notes:;5.1;15.0;25.0;21;21;9.0;29;18;5;1;5;;4;50.0
Golden Ale;Blonde Ale - American;Mayflower Brewing Company;Mayflower Brewing Company Mayflower Golden Ale;Notes:;4.7;15.0;25.0;32;34;9.0;29;26;17;3;17;46.0;7;
Samuel Adams Winter LagerBoston Beer Company (Samuel Adams);Bock - Traditional;Boston Beer Company (Samuel Adams);Boston Beer Company (Samuel Adams) Samuel Adams Winter Lager;Notes:Festive Bock with Spices.Winter Lager's rich malt notes and accents of cinnamon, ginger, and orange peel are just the right companion for decking the halls, your holiday table, your fridge, your hand... You get the picture, no matter what or how you celebrate, do it with a Winter Lager.\t;5.6;20.0;30.0;8;29;5.0;33;24;13;1;17;27.0;45;64.0
Shiner Bock;Bock - Traditional;Spoetzl Brewery;Spoetzl Brewery Shiner Bock;Notes:Tip back a bock. Brewed with rich roasted barley malt and German specialty hops, this lightly hopped American-styled dark lager always goes down easy. Originally a seasonal beer, fans have demanded it year-round since 1973.\t;4.4;20.0;30.0;10;26;5.0;26;21;5;1;6;25.0;2;63.0
Samuel Adams Chocolate BockBoston Beer Company (Samuel Adams);Bock - Traditional;Boston Beer Company (Samuel Adams);Boston Beer Company (Samuel Adams) Samuel Adams Chocolate Bock;Notes:Rich & DecadentThis rich, decadent bock has a big, malty character with the added sweetness of chocolate. Extended aging on a bed of cocoa nibs imparts a smooth, complex flavor and velvety finish.\t;5.8;20.0;30.0;3;99;50.0;35;101;10;0;20;14.0;0;
Michelob AmberBock;Bock - Traditional;Anheuser-Busch;Anheuser-Busch Michelob Amber Bock;Notes:Michelob AmberBock is brewed using 100% malt including dark-roasted black and caramel malts and all-imported hops.\t;5.2;20.0;30.0;6;27;8.0;16;31;6;0;5;15.0;1;80.0
Samuel Adams Cherry Chocolate BockBoston Beer Company (Samuel Adams);Bock - Traditional;Boston Beer Company (Samuel Adams);Boston Beer Company (Samuel Adams) Samuel Adams Chocolate Cherry Bock;Notes:;5.8;20.0;30.0;6;117;18.0;25;162;17;0;110;13.0;3;138.0
Uff-da;Bock - Traditional;New Glarus Brewing Company;New Glarus Brewing Company Uff-da;Notes:;6.7;20.0;;11;39;9.0;27;72;24;0;29;34.0;0;115.0
The Vixen Chocolate Chili BockBoston Beer Company (Samuel Adams);Bock - Traditional;Boston Beer Company (Samuel Adams);Boston Beer Company (Samuel Adams) Samuel Adams Chocolate Chili Bock;Notes:;8.5;20.0;;9;127;32.0;30;129;16;0;32;14.0;103;130.0
St. Nikolaus Bock Bier;Bock - Traditional;Pennsylvania Brewing Company;Pennsylvania Brewing Company St. Nikolaus Bock Bier;Notes:Munich and various roasted malts give it a very malty, rich flavor with a hint of burnt flavor. 100% imported Hallertau hops, moderate bitterness and aroma.\t;6.0;20.0;30.0;19;61;3.0;47;54;8;0;13;36.0;24;102.0
Spring Bock;Bock - Traditional;Saint Arnold Brewing Company;Saint Arnold Brewing Company Saint Arnold Spring Bock;Notes:An authentic, copper colored, German-style Bock, celebrating the coming of spring. This big, deeply flavored lager has been aged to create a smooth, malty taste with a hint of sweetness. A light addition of German hops balances the malt flavor.\t;6.9;20.0;30.0;11;50;350.0;31;42;7;1;10;43.0;6;
Pandora's Bock;Bock - Traditional;Breckenridge Brewery;Breckenridge Brewery Pandora's Bock;Notes:;;20.0;30.0;11;41;22.0;20;88;25;0;39;31.0;13;100.0
Genesee Spring Bock;Bock - Traditional;Genesee Brewing Co. / Dundee Brewing Co.;Genesee Brewing Co. / Dundee Brewing Co. Genesee Bock;Notes:Formerly Genesee Bock BeerOur take on the 16th century German legend has turned out to be a legend in its own right. For every spring since 1951, our brewery has carefully crafted and lagered Genesee Bock Beer. The result is an exceptionally hearty, full-flavored beer with a slight malty finish—and a perfect way to celebrate the snow melt.\t;5.2;20.0;30.0;13;39;5.0;18;50;10;2;12;21.0;1;67.0
Ur-Bock Dunkel;Bock - Traditional;Einbecker Brauhaus AG;Einbecker Brauhaus AG Einbecker Ur-Bock Dunkel;Notes:At the first sip it is smooth and full-bodied, at the second sip the true rich, strong roasted malt aroma of Einbecker Ur-Bock unfolds. The dark barley-malt brewed refreshment from the Einbecker original recipe.\t;6.5;20.0;30.0;10;38;18.0;40;55;14;0;18;41.0;5;88.0
